iter	Passed	Remaining
639	811	456
640	812	454
641	812	453
642	813	451
643	813	449
644	814	448
645	815	446
646	815	445
647	816	443
648	816	441
649	817	440
650	818	438
651	818	437
652	819	435
653	820	434
654	821	432
655	821	430
656	822	429
657	823	427
658	823	426
659	824	424
660	825	423
661	825	421
662	826	420
663	827	418
664	827	416
665	828	415
666	828	413
667	829	412
668	829	410
669	830	409
670	831	407
671	831	406
672	832	404
673	833	402
674	833	401
675	834	399
676	834	398
677	835	396
678	836	395
679	837	393
680	837	392
681	838	390
682	839	389
683	839	387
684	840	386
685	840	384
686	841	383
687	842	381
688	842	380
689	843	378
690	843	377
691	844	375
692	845	374
693	845	372
694	846	371
695	847	370
696	847	368
697	848	367
698	848	365
699	849	364
700	850	362
701	850	361
702	851	359
703	852	358
704	852	356
705	853	355
706	854	353
707	854	352
708	855	351
709	856	349
710	856	348
711	857	346
712	858	345
713	858	344
714	859	342
715	860	341
716	860	339
717	861	338
718	862	337
719	863	335
720	863	334
721	864	332
722	864	331
723	865	329
724	866	328
725	866	327
726	867	325
727	868	324
728	868	322
729	869	321
730	870	320
731	870	318
732	871	317
733	872	316
734	873	314
735	873	313
736	874	312
737	875	310
738	875	309
739	876	307
740	877	306
741	877	305
742	878	303
743	879	302
744	879	301
745	880	299
746	881	298
747	882	297
748	882	295
749	883	294
750	884	293
751	884	291
752	885	290
753	885	289
754	886	287
755	887	286
756	888	285
757	888	283
758	889	282
759	889	281
760	890	279
761	891	278
762	891	277
763	892	275
764	893	274
765	894	273
766	894	271
767	895	270
768	895	269
769	896	267
770	897	266
771	897	265
772	898	263
773	898	262
774	899	261
775	900	259
776	900	258
777	901	257
778	901	255
779	902	254
780	903	253
781	903	251
782	904	250
783	905	249
784	905	248
785	906	246
786	907	245
787	907	244
788	908	242
789	908	241
790	909	240
791	910	239
792	910	237
793	911	236
794	912	235
795	913	233
796	913	232
797	914	231
798	915	230
799	915	228
800	916	227
801	917	226
802	917	225
803	918	223
804	919	222
805	919	221
806	920	220
807	920	218
808	921	217
809	922	216
810	922	215
811	923	213
812	923	212
813	924	211
814	925	210
815	925	208
816	926	207
817	926	206
818	927	204
819	928	203
820	928	202
821	929	201
822	929	199
823	930	198
824	931	197
825	931	196
826	932	195
827	933	193
828	934	192
829	934	191
830	935	190
831	935	188
832	936	187
833	937	186
834	937	185
835	938	184
836	939	182
837	939	181
838	940	180
839	940	179
840	941	178
841	942	176
842	942	175
843	943	174
844	944	173
845	945	172
846	945	170
847	946	169
848	947	168
849	947	167
850	948	166
851	949	164
852	950	163
853	951	162
854	951	161
855	952	160
856	953	159
857	954	157
858	954	156
859	955	155
860	956	154
861	957	153
862	958	152
863	958	150
864	959	149
865	960	148
866	960	147
867	961	146
868	962	145
869	963	143
870	964	142
871	964	141
872	965	140
873	966	139
874	967	138
875	968	137
876	969	136
877	970	134
878	971	133
879	972	132
880	973	131
881	974	130
882	975	129
883	976	128
884	977	126
885	977	125
886	979	124
887	979	123
888	981	122
889	982	121
890	983	120
891	984	119
892	985	118
893	986	116
894	987	115
895	988	114
896	989	113
897	990	112
898	991	111
899	992	110
900	994	109
901	995	108
902	995	106
903	996	105
904	997	104
905	998	103
906	1000	102
907	1001	101
908	1001	100
909	1002	99
910	1003	98
911	1004	96
912	1005	95
913	1006	94
914	1007	93
915	1008	92
916	1009	91
917	1010	90
918	1010	89
919	1011	87
920	1012	86
921	1013	85
922	1014	84
923	1014	83
924	1015	82
925	1016	81
926	1016	80
927	1017	78
928	1018	77
929	1019	76
930	1020	75
931	1020	74
932	1021	73
933	1022	72
934	1023	71
935	1024	70
936	1025	68
937	1026	67
938	1026	66
939	1027	65
940	1028	64
941	1029	63
942	1030	62
943	1031	61
944	1031	60
945	1032	58
946	1033	57
947	1033	56
948	1034	55
949	1035	54
950	1036	53
951	1036	52
